0,1,2,3,4,5
"\""Corporal Marion\"", A Survivor of the ... Battle of Ypres\"". W.W.I propaganda handbill.","['W W. I.', '[W.W.I.].']",USD,InStock,"Yates & Co,",275.0
"Tete a tete; Robe, de Beer. Print from the Gazette du Bon Ton.","['Beer.', 'Beer']",USD,InStock,,95.0
"Portrait of Dr. Forbes McKay, who was a member of Shackleton's Northern Party, 1908-9.","['E. H. Shackleton', 'Postcard', 'Postcard. (Shackleton, E.H.).']",USD,InStock,,65.0
"New War Map - 3 Maps in One. Consisting of: The Atlantic Ocean and Adjacent Countries, The Pacific Ocean and Adjacent Countries, The World on Mercators Projection.","[W.W. I. I.] Gross, Alexander.",USD,InStock,,275.0
"The Narta, or Sledge for Burdens in Kamtchatka.","['Webber, John.', 'John Webber']",USD,InStock,,12500.0
Shop Display advertising for Fruits and Vegetables.,Retail Fruit Trade Federation Ltd.,USD,InStock,,750.0
The Pacific Coast of New South Wales Australia.,,USD,InStock,"New South Wales Government Immigration and Tourist Bureau,",85.0
"South Island, New Zealand (Dunedin). 14 Albumen photographs.","['Charles Campbell', 'William Meluish', 'Frank A. Coxhead', '[New Zealand; Photography] Meluish, William; Frank A. Coxhead; John Richard Morris; Charles Campbell.', 'John Richard Morris', 'Photography', 'New Zealand']",USD,InStock,,750.0
"Geography Epitomized: or, A tour round the World: being a Short but Comprehensive Description of the Terraqueous Globe; Attempted in Verse, (for the sake of the memory;) And principally designed for the Use of Schools.","[Cook, James; Children's] Davidson, Robert.",USD,InStock,,5500.0
"ALS from Major Henry C. Dane to his friend dated August 18, 1887 [with] unrecorded Sydney handbill advertising his three lectures.","Dane, Henry C. (Major).",USD,InStock,,475.0
Pointie Talkie.,[China; W. W. 2; Army Airforce].,USD,InStock,,450.0
View in Macao.,"['Webber, John.', 'John Webber']",USD,InStock,"John Webber,",30000.0
"Autograph letter signed \""James Edward FitzGerald\"" as Assistant Secretary of the British Museum.","['FitzGerald, James Edward.', 'James Edward FitzGerald']",USD,InStock,,125.0
"The American Angler's Guide, Containing the Opinions and Practice of the best English and American Anglers, with the Modes Usually Adopted in all Descriptions of Fishing, Method of Making Artificial Flies, etc. Fourth Edition, Revised, Corrected, and Improved.","['John J. Brown', 'Brown, John J.']",USD,InStock,"Long & Brother,",225.0
Printed letter sheet sent in 1834 with maritime advertising.,"['[Insurance & shipping advertising; Scotland].', 'shipping advertising', 'Scotland', 'Insurance']",USD,InStock,,450.0
"\""Heads of the Law\"". Double Page chromolithograph.","['Vanity Fair, Spy.', 'Spy Vanity Fair']",,,"Hentschel Colour Type,",
The Land of the Dawning.,"['R. D.', 'Vance? Palmer', 'R. D.; [Palmer, Vance?].']",,,"McCorquodale,",
"\""The Fetish Hole. A Story of East Africa\"", in The Boy's Own Annual. Vol. 19 (Oct. 3, 1896 - Sept. 25, 1897). Complete in 9 chapters.","['Henty, G. A.', 'G. A. Henty']",USD,InStock,"The Boy's Own Annual,",50.0
"Chess Made Easy: or, the Games of Gioachino Greco, the Calabrian; with Additional Games and Openings, Illustrated with Remarks and General Rules...","['Gioachino Greco', 'Greco, Gioachino.']",USD,InStock,"J. and P. Knapton and W. Sandby,",2500.0
"\""Chinese Here and At Home\"", article in The Fireside Monthly, March 1879. Magazine.","['San Francisco', '[Chinese Exclusion Act; San Francisco].', 'Chinese Exclusion Act']",,,"Leslie & Co,",
"Stereoscopic view, The Ruins of Angkor Wat, The Best Preserved Example in the World of Khmer Architecture, Cambodia, French Indo-China.","['Cambodia Stereoscopic view', 'Cambodia Stereoscopic view.']",USD,InStock,"Keystone View Company,",25.0
"Photographic album of a pre-WWI tour in Europe and India, Kashmir & France, concluding during WWI at Louviciennes.","[Photographs; India; Europe; France] (Haig, Major W. de W.).",USD,InStock,,800.0
"Prospectus for Report on the Scientific Results of the Voyage of S.Y. Scotia During the Years 1902, 1903 & 1904 under the Leadership of William S. Bruce.",[Antarctic] Scottish National Antarctic Expedition.,USD,InStock,,45.0
"Le Cook de la Jeunesse, ou Extrait des Voyages le plus Recens dans les Regions les Plus Eloignees. Suivi de l'Abrege de la vie du Capitaine Cook, par M. le Capitaine B**.","[Cook, James] (J. P. Berenger).",USD,InStock,,750.0
"A View in Annamooka, One of the Friendly Isle's.","['Webber, John.', 'John Webber']",USD,InStock,"J. Webber,",3250.0
Australian Coastal Exploration In Antarctica. RGS monthly issue.,"['P. Law', 'Law, P.']",USD,InStock,,35.0
An Exposition of the Creed.,"['Lord Bishop of Chester John', 'John (Pearson), Lord Bishop of Chester.', 'Pearson']",USD,InStock,"W. Bowyer, C. Griffin, and Sam Keble,",200.0
The Tale of a Kangaroo - Sheet Music with pictorial cover.,"Pixley, Frank (words), music by Gustav Luders.",USD,InStock,,45.0
The Tale of a Kangaroo - Sheet Music.,"Pixley, Frank (words), music by Gustav Luders.",USD,InStock,,75.0
"Illustrated broadside for decorated children's plates manufactured by the Geo. F. Bassett & Co., New York, with kangaroo plate.",Trade broadside for Geo. F. Bassett & Co. [Kangaroo] .,USD,InStock,,475.0
"The Farmer's Practical Horse Farriery. Goshen NY Imprint. Containing Practical Rules on Buying, Breeding, Breaking, Lameness, Vicious Habits...to which is Perfixed an Account of the Breeds in the United States.","['Reeves, J. H; Nash, E.', 'E. Nash', 'J. H. Reeves']",USD,InStock,,175.0
"Cupid and Psyche: A Mythological Tales, from the Golden Ass of Apuleius.","['Apuleius', 'Giovanni Battista Cipriani', 'Apuleius; Giovanni Battista Cipriani.']",USD,InStock,"Printed for J. Wright by W. Bulmer,",145.0
Postcard of Bird's Eye View of San Francisco with Mt. Tamalpais and Marin Hills.,,USD,InStock,Pacific Novelty Company.,14.0
"In Darkest Africa Or the Quest, Rescue, and Retreat of Emin Governor of Equatoria.","['Stanley, Henry M.', 'Henry M. Stanley']",USD,InStock,"Charles Scribner's Sons,",150.0
"A form letter addressed \""To the Overseers of the Parish of Mereworth, Kent\"" advertising cheap passages for \""Families, Labourers, and Poor Persons\"" emigrating to Australia and the British colonies; \""Shovelling out paupers\",[Australia; Emigration].,USD,InStock,,500.0
Montreal in Halftone: Pictorial Album Intended to Refresh Recollections of Any Visitors and to Serve as an Accurate Guide While Touring the City.,[Canada; Travel Brochure].,USD,InStock,,45.0
"Journals of Expeditions of Discovery into Central Australia and Overland from Adelaide to King Georges Sound in the Years 1840-1; sent by the Colonists of South Australia, with the Sanction and Support of the Government: including an Account of the Manners and Customs of the Aborigines and the State of Their Relations with Europeans.","['Edward John Eyre', 'Eyre, Edward John.']",USD,InStock,"T.W. Boone,",6500.0
Frank Wild.,"['Leif Mills', 'Mills, Leif.']",USD,InStock,"Caedmon of Whitby,",125.0
"A Christmas Toast with Greeting. \""To the Day\","['W W. I.', '[W.W.I.] Edwards, Tom.', 'Tom Edwards']",USD,InStock,,375.0
"Advertising broadsheet for Chinese and English Playing Cards: \""Ostrich\"", \""Heaven's Temple\"", \""Golden Calf\"", and \""Cultural Entertainment\","['China National Sundries Corporation', 'China National Sundries Corporation.']",USD,InStock,"China National Sundries Corporation,",45.0
"Views of New Zealand from all parts of the Colony, Part I Northern Wonderland.",,USD,InStock,"H. J. Weeks,",90.0
"Geo. R. Broadbent's standard and official motor guide, Melbourne to Sydney (and back) : via The Prince's Highway Fourth Edition 1926-27.",,,,"F. W. Niven Pty Ltd,",
"A group of five real photographs of a parade in London celebrating the end of W.W.I and an invitation to \""Popular Smoking concert, to members of Australian Imperial Force, Sunday 9th March, 1919...\","['W W. I.', '[W.W.I] Australian Imperial Force.', 'Australian Imperial Force']",USD,InStock,,125.0
Letters from the Hawaiian Islands.,"['Zahm, J. A.', 'J. A. Zahm']",,,"University Press,",
Discovery of the North Pole and Other Great Polar Expeditions.,"Cook, Dr. Frederick A. and Peary, Robert E.",USD,InStock,,15.0
"Three Years' Wanderings Of A Connecticut Yankee, In South America, Africa, Australia And California With Descriptions Of The Several Countries, Manners, Customs And Conditions Of The People, Including Miners, Natives, etc. Also, A Detailed Account Of A Voyage Around The World.","['C. M. Welles', 'Welles, C. M.']",USD,InStock,"American Subscriptions Publishing House,",45.0
"Map of Manitoba published by Authority of the Pronvicial Government Winnipeg, June, 1891.","['Minister for Agriculture and Immigration J. Greenway', 'J. Greenway, Minister for Agriculture and Immigration.']",USD,InStock,"Societe de Geographie Commerciale de Paris,",950.0
The Old English Herbals. Limited Edition.,"Rohde, Eleanour.",USD,InStock,,30.0
"No Thoroughfare...being The Extra Christmas Number of All the Year Round, Conducted by Charles Dickens, for Christmas, 1867.","Dickens, Charles & Wilkie Collins.",USD,InStock,,75.0
"Le Feu Dans l'Industrie Artistique; set of 6 cards featuring pottery, porcelain and stained glass manufacture, for \""Veritable Extrait de Viande Liebig\","['Advertising', 'Applied Art', '[Applied Art; Advertising].']",,,"Liebig,",
Ethnic Dancer. Etching.,"['[Nelsen, J].', 'J. Nelsen']",USD,InStock,,175.0
New York Views; the first attempt at recording day to day life in New York City.,"['Charles Burton', 'James Smillie', 'Bourne, George M. publisher; Charles Burton; James Smillie; William Guy Wall (after).', 'after', 'William Guy Wall', 'George M. publisher Bourne']",USD,InStock,"George M. Bourne,",1250.0
"A New, Royal and Authentic System of Universal Geography, Antient and Modern: All the late important Discoveries made by the English, and other celebrated Navigators of various Nations, in the different Hemispheres, from the Celebrated Columbus, the first Discoverer of America, to the Death of our no less celebrated Countryman Captain Cook, & c... and the Latest Accounts of the English Colony of Botany Bay:...","Bankes, Thomas, Blake, Edward Warren, Cook, Alexander, and Lloyd, Thomas.",USD,InStock,,4750.0
"Belgian Congo. Photograph of three white officers in front of a large group of black troops, in front of a large brick building.","['Real photo postcard', 'Real photo postcard.']",USD,InStock,,35.0
"\""Le Theatre Libre Saison 1895-1896. La Fumee, puis la Flamme\"". Color lithograph broadsheet.","['Louis Abel-Truchet', 'Abel-Truchet, Louis; Joseph Caraguel.', 'Joseph Caraguel']",USD,InStock,"Theatre Libre,",225.0
Results of the Archbold Expeditions. No. 41. Summary of the 1938-1939 New Guinea Expedition.,"Archbold, Richard and A.L. Rand and L.J. Brass.",USD,InStock,,27.5
Papuans and Polynesians (&) Notes on Songs and Songmakers of some Australian Tribes. (&) Music of the Australian Aboriginals.,"Brown, George, A.W. Howitt & G.W. Torrance.",USD,InStock,,40.0
"Costruzioni Scientifiche \""Cartoccino\"" Dirgibile Norge 1, che Nobile condusse al Polo Nord. Tavola N. 12. Italian paper cut out construction sheet for the dirigible \""Norge\",[Arctic; Children's].,USD,InStock,,275.0
"Patriotic Flag decoration made in Japan including flags of the United States, Great Britain, Turkey, France, China, etc.",[Children's Flag Decoration; Japan].,USD,InStock,,175.0
"The Nile Boat; or, Glimpses of the Land of Egypt.","['Bartlett, W.H.', 'W. H. Bartlett']",USD,InStock,"Arthur Hall, Virtue, and Co,",75.0
Animal ABC and Picture Blocks. In original box.,"['ABC', 'Childrens', '[Childrens; ABC].']",USD,InStock,,450.0
"Sport in Ladakh. Five Letters from \""The Field\","['Sir Frederick Edward Shafto Adair', 'Adair, Sir Frederick Edward Shafto .']",USD,InStock,"Horace Cox,",950.0
The Ladies' Flower-Garden of Ornamental Bulbous Plants.,"Loudon, Mrs. [Jane Webb].",USD,InStock,,750.0
"The Arabian Nights\"". Men of the Day, No. 343. Portrait with accompanying text.","['Captain', 'Burton, Richard Francis, Captain. [Vanity Fair].', 'Richard Francis Burton', 'Vanity Fair']",USD,InStock,"Vanity Fair,",175.0
Rip Van Winkle Illustrated by F. O. C. Darley.,"['Felix O. C. Darley', 'Washington Irving', 'Darley, Felix O.C.; Washington Irving.']",USD,InStock,"The American Art Union,",125.0
"Bouquet de Violettes, Manteau du soir, de Beer; Print from the Gazette du Bon Ton.","['Beer.', 'Beer']",USD,InStock,,95.0
"A memorial of Constantine Hering, born January 1, 1800, died July 23, 1880.","['Constantine Hering', '[Hering, Constantine].']",USD,InStock,"Globe Printing House,",275.0
Souvenir of Mt. Beacon Incline Railway - Photogravures.,"['Mt. Beacon-on-Hudson Association', 'Mt. Beacon-on-Hudson Association.']",USD,InStock,"Mt. Beacon on Hudson Association,",95.0
"Madison County NY School record book, 1823 - 1828, with late entries for 1851.","['[New York; Schools].', 'Schools', 'New York']",USD,InStock,,275.0
'The Kodak Book'. Japan photograph album.,,USD,InStock,"Eastman Kodak Company,",175.0
"China, in some of its Physical and Social Aspects (&) Discover of an Ancient Map in Iceland by Baron Nordenskjold in the Proceedings of the Royal Geographical Society and Monthly Record of Geography, August 1883, Complete monthly issue.","['Royal Geographical Society', 'Royal Geographical Society; Baber, E. Colborne and Nordenskjold.', 'E. Colborne and Nordenskjold Baber']",USD,InStock,"Royal Geographic Society,",45.0
"Real photo postcards of the Xinhài Gémìng, Xinhai Revolution of 1911, Taken by an American.","['[China; Photographs].', 'China', 'Photographs']",USD,InStock,,1750.0
"A short account of the malignant fever, lately prevalent in Philadelphia : with a statement of the proceedings that took place on the subject in different parts of the United States. To which are added, Accounts of the Plague in London and Marseilles; and a List of the Dead, from August 1 to the middle of December, 1793.","Carey, Mathew.",USD,InStock,,450.0
"Trade Receipts for wine and beer from Perth, Australia merchants 'H. Sherwood & Co., Wine & Spirit Merchants' and 'D. Nathan & Co., Bottle and Case Merchant'.",West Australia.,USD,InStock,,75.0
Report of the Secretary for Mines (&) Report of the Director.,"['Tasmania. Department of Mines.', 'Tasmania. Department of Mines']",USD,InStock,"Government Printer,",400.0
Shackleton.,"['Margery Fisher', 'Fisher, Margery and James; Drawings by W.E. How.', 'W E. How', 'James']",USD,InStock,"Barrie Books Ltd.,",20.0
Men of the Jungle.,"['Ion L. Idriess', 'Idriess, Ion L.']",USD,InStock,"Angus & Robertson,",45.0
Essay on Irish Bulls [Family Association Copy].,"['Richard Lovell and Maria Edgeworth', '[Edgeworth, Richard Lovell and Maria].']",USD,InStock,"J. Johnson, 72, St. Paul's Churchyard,",4500.0
The Great North China Troupe. Supported by the Cream of English & Continental Vaudeville Specialties and Full Orchestra.,"['Advertising Poster. Chinese Acrobats in Wellington New Zealand, 1939.', '1939 Advertising Poster. Chinese Acrobats in Wellington New Zealand']",USD,InStock,,175.0
"A Masonic Oration on the Death of Brother William S. Bush, Lieutenant of Marines, Who Was Killed on Board the Frigate Constitution… by the Junior Warden of Said Lodge, pamphlet.","['Raguet, Condy.', 'Condy Raguet']",USD,InStock,"Bradford and Inskeep,",75.0
"The Emblem; A Gift for all Seasons, with New and Elegant Illustrations.",,USD,InStock,"Leavitt & Allen,",225.0
"The Devils Advocate. A Plea for Superstition, Second Edition, Revised and Enlarged of Psyche'sTask to Which is Added The Scope of Social Anthropology.","Frazer, Sir James George.",USD,InStock,,225.0
"The Journal of the Royal Anthropological Institute of Great Britain and Ireland, Vol. XLIX.","['Ray, Sydney; Chinnery, E.W., Comptom, R.H.', 'Sydney Ray', 'Comptom', 'R. H.', 'E. W. Chinnery']",USD,InStock,"Royal Anthropological Institute,",125.0
"Stereoscopic view, Hauling timber with Buffaloes and Bullocks from Irrawaddy River near Pagan, Burma.","['Burma Stereoscopic view.', 'Burma Stereoscopic view']",USD,InStock,"Keystone View Company,",35.0
"Colton's New Railroad and County Map of the United States, Canadas, & c.","['Colton.', 'Colton']",USD,InStock,"G. W. & C. B. Colton & Co,",550.0
Chart of the Northwest Coast of America with the tracks of the King George and Queen Charlotte in 1786 & 1787. Large folding original map.,"['George Dixon', 'Dixon, George.']",USD,InStock,,400.0
"Picturesque Tourist, A Handy Guide Round the World for the Use of All Travellers between Europe, America, Australia, New Zealand, India, China, and Japan Across the American Continent.",,USD,InStock,"Hamilton, Adams and Co.,",2250.0
"The Life, Labours, and Adventures of David Livingstone, about Thirty Years a Missionary in the Wilds of Africa: His Discovery and Relief.","['Stanley, Henry M.', 'Henry M. Stanley']",USD,InStock,"Maclear,",75.0
"Wonderful escapes! Containing the interesting narrative of the shipwreck of the Antelope packet. The loss of the Lady Hobart packet, on an island of ice. The narrative of the shipwreck of the Hercules, on the coast of Africa. An account of an extraordinary escape from the effects of a storm in a journey over the frozen sea in North America.",[Shipwreck; Pelew Islands; Prince Lee Boo].,USD,InStock,,450.0
"Cession of the District of Matavai in the Island of Otaheite, to Captain James Wilson for the use of the Missionaries sent thither by that Society in the Ship Duff is Most Respectfully Dedicated, by their most obedient servants Willm Jeffrys and Co.","Smirke, Robert (after). [The Duff Voyage].",USD,InStock,,8000.0
"The Origin and History of Missions containing faithful accounts of the Voyage, Travels, Labours and Successes of the various Missionaries who have been sent forth to evangelize the Heathen. Compiled from authentic Documents forming a complete missionary repository.","Smith, Rev. T. and Choules, Rev. J.",USD,InStock,,250.0
A Sailing Canoe of Otahaite.,"['Webber, John.', 'John Webber']",USD,InStock,"Boydell,",2500.0
"Columbia & Greene County Preacher, Comprising Sermons on Various Important Subjects, by Different Ministers of the Gospel.",,USD,InStock,"John F. Dederick, A. Stoddard, Printer.",175.0
"Joyce, Dogs & Penguins.","['Postcard. Shackleton, E.H.', 'E. H. Postcard. Shackleton']",USD,InStock,,55.0
"San Francisco, Before and After the Great Earthquake April 18, 1906.",,USD,InStock,"Balloon Route Publishing Co.,",35.0
Printed letter sheet sent in 1834 with maritime advertising.,[Insurance & shipping advertising; Scotland].,USD,InStock,,450.0
"The Works of Henry Fielding, Esq. Edited with a Biographical Essay by Leslie Stephen.","['Fielding, Henry.', 'Henry Fielding']",USD,InStock,"Smith, Elder & Co,",2000.0
Voyage Through the Antarctic.,"['Adams. Richard', 'Adams. Richard and Lockley, Ronald.', 'Ronald Lockley']",USD,InStock,"Alfred A. Knopf,",5.0
"A Stillness at Appomattox. Franklin Library, Signed limited edition.","['[Civil War] Catton, Bruce.', 'Bruce Catton', 'Civil War']",USD,InStock,"The Franklin Library,",35.0
Omai. A native of the island of Utietea Brought to England by Cap. Cook. In the Collection of the Earl of Carlisle.,"['Reynolds, Joshua Sir; after.', 'Joshua Sir Reynolds', 'after']",USD,InStock,"Hodgson, Boys & Graves,",350.0
"Fossil Men, Elements of Human Palaeontology.","['[Paleontology] Boule, Marcelin.', 'Paleontology', 'Marcelin Boule']",USD,InStock,"Oliver and Boyd,",45.0
Panoramic Map of China.,"['Map', '[China; Map] Young, F.', 'China']",USD,InStock,"John Cassell by Petter and Galpin,",950.0
Travels in North America in the Years 1827 and 1828. Volumes I-III.,"['Hall, Captain Basil.', 'Captain Basil Hall']",USD,InStock,"Cadell and Co.,",400.0
"The Publications of the American Tract Society. Volumes 1 - 9, lacking Vol 2.",,USD,InStock,"American Tract Society,",700.0
Fair Japan. Album of silver print photographs of pre WWI Japan.,,USD,InStock,"Government Railway Agency,",475.0
"The Zand I Javit Sheda Dad or the Pahlavi Version of the Avesta Vendidad, the text prescribed for the B.A. and M.A. examinations of the University of Bombay.","['ed Darab Dastur Peshotan Sanjana', 'Darab Dastur Peshotan Sanjana, ed.']",USD,InStock,"Education Society's Steam Press,",225.0
"Lost Franklin Polar Expedition in Littell's Living Age, Volume LXVII, 1860.","['Sir Robert Peel', 'Franklin, Sir John; Sir Robert Peel.', 'Sir John Franklin']",USD,InStock,"Littell & Gay, later Littell, Son & Company,",45.0
"Rambles and Observations in New South Wales. With Sketches of Men and Manners, Notices of the Aborigines, Glimpses of Scenery, and Some Hints to Emigrants.","['AUS ALPHA', '[AUS ALPHA 6-17]. Townsend, Joseph Phipps.', 'Joseph Phipps Townsend']",USD,InStock,"Chapman and Hall,",45.0
"The Australia Hotel, Sydney, NSW, color logo.","['Advertising logo', 'Advertising logo.']",USD,InStock,,45.0
Recent Explorations in the Southern Alps of New Zealand; A Boat Journey Round Stanley Pool; Dr. Fischer's Journey in the Masai Country; The Mountain Systems of the himalaya and Neighbouring Ranges of India.,"['Green, W.S.; T.J. Comber; Lt. Col. H. Godwin-Austen.', 'Lt. Col. H. Godwin-Austen', 'T J. Comber', 'W. S. Green']",USD,InStock,"Royal Geographical Society,",100.0
Spats Fact'ry (More Fact'ryAnds).,"['Edward Dyson', 'Dyson, Edward.']",USD,InStock,"N.S.W. Bookstall Co,",25.0
Peacock's Improved Double Dissection. Geography and Natural History. The World.,"['Childrens', '[Childrens; Puzzle] Peacock, George.', 'Puzzle']",USD,InStock,"Edward J. Peacock, 65 Goswell Rd.",1750.0
"The Central Railroad of Iowa, Two Hundred and Forty Miles in Length, Forming, with its Connections, a Direct and Unbroken Line from St. Louis to St. Paul. Value and Security of its First Mortgage 7 Per Cent Gold Bonds.",Central Railroad of Iowa.,USD,InStock,,175.0
"Promissory note from the Petersburg Railroad Co, to pay Tho. Harrison $900 for the hire of 3 negroes. Dated 1st April 1864, signed C. O. Sanford, President.","Civil War; Confederacy. Petersburg Railroad Company, Virginia.",USD,InStock,,275.0
"Around the Circle. One Thousand Miles through the Rocky Mountains, Being a Descriptive of a Trip among Peaks, over Passes, and through Canons of Colorado. Travel guide.",Denver & Rio Grande R. R.,USD,InStock,,75.0
"The Home of the Blizzard. Being the Story of the Australasian Antarctic Expedition, 1911-1914.","['Mawson, Sir Douglas.', 'Sir Douglas Mawson']",USD,InStock,"Heinemann,",650.0
"Map of the Choo Keang or Pearl River, together with the volume of The Chinese Repository (Volume III) in which it was issued.","['[China] Bridgman, Elijah Coleman ed.', 'Elijah Coleman ed Bridgman', 'China']",USD,InStock,"Printed for the Proprietors,",2250.0
Pictorial A B C Book.,,USD,InStock,"J.Q. Preble,",350.0
The New South Wales Mounted and Foot Police : Supplement to the Illustrated Sydney News 15th September 1887.,"Mahony, Frank Prout (1862-1917).",USD,InStock,,375.0
"Boomanoomana Station from across the Murray River [with] American Merino Rams pedigree of sheep by W. G. Markham, purchased by Alfred Hay of Boomanoomana in 1883.","Markham, W. G.",USD,InStock,,525.0
"The Manchus, or the Reigning Dynasty of China: Their Rise and Progress.","['John Ross', 'Ross, John.']",USD,InStock,"J. & R. Parlane; Houlston & Sons,",800.0
"Plan Du Havre Macquarie (Terre De Van Diemen) Leve par M. G. W. Evans) Chef du Genie a Hobart-town (1809). (Communique a M. L. I Duperrey, dans la relache) au Port Jackson in 1824.","['George Walker Evans', 'L. I. Duperrey', 'Evans, George Walker. (Duperrey, L. I.).']",USD,InStock,,1750.0
"Great Western Railway Time Table, 1877. Canadian railway which served US northeast. Broadside.","['[CANADA; Railroad].', 'CANADA', 'Railroad']",USD,InStock,"Times Printing Co,",450.0
"The Subantarctic Islands of New Zealand. Reports on the geo-physics, geology, zoology and botany of the islands to the south of New Zealand.","Chilton, Charles (Editor).",USD,InStock,,450.0
Miss Nightingale in the Hospital at Scutari.,"['George Greatbach', 'Greatbach, George.']",USD,InStock,"London Printing and Publishing Company,",55.0
Johnsville in the Olden Time and Other Stories.,"['Bailey, Nathan J.', 'Nathan J. Bailey']",USD,InStock,"Edward O. Jenkins' Sons,",45.0
"A View in Annamooka, One of the Friendly Isle's; View in Ulietea; A View in Matavai, Otaheite (variant title).","['Webber, John.', 'John Webber']",USD,InStock,"J. Webber,",60000.0
"Soochow: The Capital of Kiangsu or A Guide to Soochow - 2 copies, manuscript notes and addenda bound into one with four vernacular photographs.","['Du Bose, Rev. Hampden C. Brush, George R., M.D.', 'M. D.', 'Rev. Hampden C. Brush Du Bose', 'George R.']",,,"American Presbyterian Mission Press; Messrs. Kelly & Walsh. W. Brewer, Esq.",
Expedition South.,"Anderson, W. Ellery.",USD,InStock,,25.0
"Carte d'Une Partie de l'Hemisphere Austral, ou Sont Indiquees les Nouvelles Decouvertes.","['Anonymous', 'Anonymous.']",USD,InStock,,175.0
King's Photographic Views of New York - Presentation Copy.,"['Moses King', 'King, Moses.']",,,"M. King,",
The Adventurous Koalas (with color proofs of many pages). Published booklet.,"['Childrens', 'Koala', '[Childrens; Koala; Kangaroo] Woods, Barbara.', 'Kangaroo']",USD,InStock,"J. T. Picken & Sons,",125.0
Mining Magazine; an international monthly review of current progress in mining and metallurgy.,,USD,InStock,"W. J. Johnston,",500.0
Grammar of Ornament.,"['Jones, Owen.', 'Owen Jones']",,,"Studio Editions,",
"Stereoscopic view, The Chien Mein Gate from the Tartar City, Peiping, China.","['China Stereoscopic view', 'China Stereoscopic view.']",USD,InStock,"Keystone View Company,",45.0
"Witchetty's Tribe. Aboriginal Cartoon Fun. 20 numbers including the first number, spelled \""Wichetty's Tribe\","['Eric Jolliffe', 'Jolliffe, Eric.']",,,"Sungravure Ltd.,",
Saltbush Bill. Cartoon Fun on the Farm. 20 numbers including the first number.,"['Eric Jolliffe', 'Jolliffe, Eric.']",,,"Sungravure Ltd.,",
"Chambers' Edinburgh Journal, Volume IV, with article, \""Mutiny of the Bounty\","['Robert', 'William Chambers', 'Chambers, William & Robert.']",USD,InStock,"Orr and Smith,",95.0
Fighting the Great War with an Ambulance - an archive of a W.W.I American ambulance driver. 47 items.,"['Coleman Clark', 'John Platt Jr.', '[W.W.I.; John Platt, Jr.; Coleman Clark].', 'W W. I.']",USD,InStock,,4750.0
"Security Analysis. Principles and Technique. With the collaboration of Charles Tatham, Jr.","Graham, Benjamin & David L. Dodd.",USD,InStock,,275.0
Village and Farm Cottages: The Requirements of American Village Homes Considered and Suggested; with Designs for Such Houses of Moderate Cost.,"['Samuel D. Backus', 'William Backus', 'Cleaveland, Henry W., William Backus, and Samuel D. Backus.', 'Henry W. Cleaveland']",USD,InStock,"Appleton & Co,",275.0
"Bulletin of the New York Public Library, Astor Lenox and Tilden Foundations, Volume V, Jan - Dec 1901.",,USD,InStock,"New York Public Library,",225.0
"Joyce, Dogs & Penguins.","['Postcard. Shackleton, E.H.', 'E. H. Postcard. Shackleton']",USD,InStock,,45.0
"The Yangtze Valley And Beyond An Account of Journeys in China, Chiefly in the Province of Sze Chuan and Among the Man-Tze of the Somo Territory.","Bishop, Mrs. J.F. [Isabella L Bird].",USD,InStock,,225.0
The Plantain Tree in the Island of Cracatoa.,"['Webber, John.', 'John Webber']",USD,InStock,"Boydell,",4500.0
"History of the First Presbyterian Church of Monroe, New York; 1783 - 1956.","['George Lewis', 'Brooks, Mrs. C. Arthur (ed.), Lewis, George.', 'Mrs. C. Arthur Brooks']",USD,InStock,,75.0
"Letter from Harry Stone, NY bookseller to Dr. Charles W. Pilgrim, offering him Whitman's rarity \""Memoranda During the War\","['Walt Whitman', 'Charles W. Pilgrim', '[Whitman, Walt; Charles W. Pilgrim].']",USD,InStock,,175.0
Iles du Groupe de la Nouvelle-Guinee. A set of 6 Liebig advertising cards.,"['Liebig Advertising cards.', 'Liebig Advertising cards']",USD,InStock,,250.0
The Celestial and His Religions: or the Religious Aspect in China. Being a Series of Lectures on the Religions of the Chinese.,"['Ball, James Dyer.', 'James Dyer Ball']",USD,InStock,"Kelly & Walsh,",500.0
A Journey from St. Petersburg to Pekin 1719- 22.,"['Bell, John.', 'John Bell']",USD,InStock,"Barnes & Noble,",65.0
Hudson River Through the Years.,"['Arthur G. Adams', 'Adams, Arthur G.']",USD,InStock,,30.0
Boy's Hunting Book [with] the original pen and ink sketch for the kangaroo illustration.,"['Walter Dunk', ""Children's"", ""[Children's] [Kangaroo] Dunk, Walter illustrator."", 'Kangaroo']",USD,InStock,McLoughlin Bros.,750.0
Nelly was a Lady.,"['Foster, Stephen Collins.', 'Stephen Collins Foster']",USD,InStock,"Joseph Knight Company,",450.0
"Set of 4 original art postcards created by professional French artists and students at the Comite des Etudiants Americains de l’Ecole des Beaux Arts, Paris in WWI.","['WWI', 'Art', '[Art; WWI].']",USD,InStock,,275.0
"New York Central Railroad Company, Report of a Committee Appointed January 4th, 1855 ... Authorizing Certain Examinations to be made of the \""Acts and Doings of the Directors and Treasurer\"", Subsequent to the Consolidation.",New York Central Railroad.,USD,InStock,,175.0
